time,Route1-Ambalipura - Sarjapur Rd/Sarjapur Main Rd and NH 44,Route2-Ambalipura - Sarjapur Rd/Sarjapur Main Rd and NH 44
Thu Apr 12 12:08:41 2018,25 min,23 min
Thu Apr 12 12:08:51 2018,25 min,23 min
